0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
7235435095059069,IRO1KVRZ0001,پكوير,كوير تاير,120450,4860,4979,4900,146,808363,4002093058,4860,5048,4990,567,3006012,2893,1,25,5289.00,4691.00,4360000000,300
7300125658580126,IRO3IKAZ0001,زكشت,كشاورزي مكانيزه اصفهان كشت,120238,18100,18990,18570,374,941568,17881836690,18000,19500,18500,0,1,3289,2,01,19610.00,17390.00,300000000,303
7385624172574740,IRO1RENA0001,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,120504,6640,6740,6730,3443,93184540,627610163630,6470,6740,6360,267,4670043,5493,1,34,6740.00,5980.00,11675108000,300
7395271748414592,IRO1IKHR0001,وخارزم,سرمايه گذاري خوارزمي,120506,4280,4486,4446,3668,56962794,255563108087,4280,4530,4274,925,7480000,5803,1,56,4530.00,4018.00,18700000000,300
7457232989848872,IRO1TMKH0001,خمحور,توليدمحورخودرو,120058,3108,3110,3115,351,8781597,27312064566,3015,3115,2967,35,5055612,4094,1,34,3115.00,2819.00,6325419000,300
7483280423474368,IRO1ATIR0001,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,120454,6170,6200,6120,490,3415033,21079148780,6040,6370,6230,466,5767443,3564,1,34,6600.00,5860.00,14418606750,300
7503669593172728,IRO7SESP0001,ثاصفا,شركت‌ ساختمان‌ اصفهان‌,120435,10940,11170,11220,204,1618989,18085920670,10860,11350,11190,-24,800000,3051,4,70,11520.00,10860.00,160000000,309
7628308021169118,IRO3KAHZ0001,بكهنوج,توليد برق ماهتاب كهنوج,120256,1188,1183,1178,405,12435520,14714264989,1161,1203,1203,-640,12468828,2973,2,40,1263.00,1143.00,16050495533,303
7670135462634715,IRT3GONF0001,گنبد,صندوق س. گنبد ميناي دماوند-م,104117,10938,10938,10938,3,3721,40700298,10938,10938,10987,,1,1834,2,68,12085.00,9889.00,200000000,305
7711282667602555,IRO1PARK0001,شاراك,پتروشيمي شازند,120505,45600,45310,44990,1405,3169649,143620261840,44970,45800,45610,6832,2192502,6383,1,44,48340.00,42880.00,8064000000,300
7745894403636165,IRO1PNES0001,شپنا,پالايش نفت اصفهان,120505,6840,6730,6660,7340,109759752,739104520840,6610,6870,6860,826,17492711,7660,1,23,7270.00,6450.00,190000000000,300
7920014658832193,IRO7GRDZ0001,وگردش,بانك گردشگري,120320,11120,11090,11050,456,7002198,77639718700,11050,11360,11390,595,6000000,3100,4,57,11730.00,11050.00,15000000000,309
8175784894140974,IRO3PZAZ0001,فزر,پويا زركان آق دره,120432,27500,26950,26800,3195,7482502,201489468350,26500,27750,28000,6907,1,4728,2,13,29650.00,26350.00,3000000000,303
8646067353086740,IRO3BLSZ0001,بالاس,مهندسي ساختمان تاسيسات راه آهن,120258,26100,26000,25800,561,1125026,29245995250,25600,26450,26300,96,1,4347,2,45,27600.00,25000.00,150000000,303
8725363201030474,IRO3IZIZ0001,فگستر,گسترش صنايع روي ايرانيان,120500,9000,8650,8590,1458,6910764,59806878820,8590,9000,9040,542,1,3993,2,27,9490.00,8590.00,1000000000,303
8915450910866216,IRO1DZAH0001,دزهراوي,داروسازي‌زهراوي‌,120501,4236,4319,4310,301,1839841,8043660680,4236,4443,4262,228,3519474,3031,1,43,4475.00,4049.00,3204000000,300
8977369674477111,IRO1TBAS0001,كطبس,ذغال‌سنگ‌ نگين‌ ط‌بس‌,120353,20500,21090,20800,153,665414,14047964410,20200,21640,20840,1735,719770,3250,1,10,21880.00,19800.00,785000000,300
8977441217024425,IRO1SEPA0001,فسپا,گروه‌صنعتي‌سپاهان‌,120344,16580,16410,16420,386,1863355,30582861590,16210,16620,16620,3345,902527,3857,1,27,17450.00,15790.00,1300000000,300
9141577977527107,IRO7VIRP0001,وايرا,سرمايه گذاري صنايع ايران,120309,1774,1804,1769,86,2154262,3823512703,1769,1803,1823,236,5485464,2551,4,56,1877.00,1769.00,2200000000,309
9536587154100457,IRO1BPAS0001,وپاسار,بانك  پاسارگاد,120348,9010,9010,8880,531,16427632,147969568640,8790,9030,9020,1229,13303769,3894,1,57,9560.00,8480.00,131040000000,300
9698674686691945,IRO1KPRS0001,كپارس,كاشي‌ پارس‌,120404,8100,8390,8410,333,1658998,13935405910,8100,8570,8330,747,1800720,3468,1,49,8740.00,7920.00,1635471000,300
9761381741308262,IRO7SHOP0001,وشمال,س. چشم انداز توسعه شمال,115857,23750,23750,23750,461,1299174,30871369900,23750,24250,24200,-117,206612,3301,4,56,24650.00,23750.00,121900000,309
9987529074833218,IRO7ABYP0001,آبين,كشت و صنعت آبشيرين,120146,5510,5510,5510,693,15924353,87684126240,5350,5510,5350,0,1869159,3744,4,01,5510.00,5190.00,1802615058,309
10024128313803797,IRO3GDSZ0001,زگلدشت,كشت و دام گلدشت نمونه اصفهان,120452,8670,9140,9000,457,1855928,16958370830,8670,9370,8990,0,1668521,3800,2,01,9520.00,8460.00,700000000,303
10055255678920880,IRO7MIVP0001,وملت,سرمايه گذاري ملت,120314,2151,2179,2151,22,783810,1685975310,2151,2151,2194,77,2278943,2728,4,56,2237.00,2151.00,1000000000,309
10114441830266109,IRO3DCAZ0001,گدنا,تهيه توزيع غذاي دنا آفرين فدك,120447,13480,12850,12680,1788,2833252,36402340250,12600,13480,13260,498,1,3489,2,55,13920.00,12600.00,300000000,303
10120557300120078,IRO1SHND0001,پسهند,صنايع‌ لاستيكي‌  سهند,120241,35710,35380,35700,185,433432,15334092600,34930,36680,36760,3748,408052,3244,1,25,38590.00,34930.00,350000000,300
10145129193828624,IRT1CNGF0001,نگين,ص.س. زمين و ساختمان نگين شهرري,120251,62430,62400,62400,5,19999,1247982600,62400,62430,62950,,1,1987,1,68,125900.00,10.00,27000000,305
10171945867136336,IRO1SITA0001,سيتا,سرمايه گذاري سيمان تامين,120436,11310,11120,10930,1789,4710030,52384277870,10900,11560,11470,1266,4400000,4034,1,53,12040.00,10900.00,11000000000,300
10367678011039964,IRT1SDVI0002,تصميم2,صندوق س با درآمد ثابت تصميم,91230,1,1,1,1,2000000,2000000,1,1,20201,,1,262,1,68,1.00,1.00,500000000,305
10568944722570445,IRO1SEFH0001,سصفها,سيمان‌اصفهان‌,120457,59500,64090,62250,1944,2354400,150901590110,59500,64840,61780,1685,242797,4260,1,53,64860.00,58700.00,500000000,300
10654052153538617,IRO7ABGP0001,كابگن,توليدي و صنعتي آبگينه‌,110624,8630,8710,8630,5,2476,21367880,8630,8630,8710,554,287027,2001,4,54,8790.00,8630.00,93900000,309
10795723506538053,IRT1FIRO0001,فيروزا,صندوق ارمغان فيروزه آسيا-ثابت,120155,29889,28673,28667,134,1859742,53325213193,28667,29889,28624,,1,2022,1,68,31486.00,25762.00,300000000,305
10831074117626896,IRO7GHUP0001,قاروم,قند اروميه,115914,167750,167750,167750,25,40703,6827928250,167750,167750,172900,6111,1,2965,4,38,178050.00,167750.00,171600000,309
10843114830116591,IRO7BRTP0001,نبروج,نساجي بروجرد,95625,22500,22500,22500,2,1000,22500000,22500,22500,22100,2021,1,2009,4,17,22500.00,21700.00,148212165,309
11129387075131725,IRO1TMLT0001,تملت,تامين سرمايه بانك ملت,120503,3437,3436,3445,480,2052057,7055675267,3401,3499,3435,341,6400000,3166,1,67,3641.00,3229.00,16000000000,300
11258722998911897,IRO1SKBV0001,وسكاب,س.ص.بازنشستگي كاركنان بانكها,120032,2740,2766,2714,209,1679042,4612134763,2710,2799,2775,1090,5405405,2973,1,56,2941.00,2609.00,12000000000,300
11273669187884551,IRT3MEYF0002,گنجينه2,صندوق س. گنجينه داريوش-د,93816,1,1,1,5,20500000,20500000,1,1,10004,,1,332,2,68,1.00,1.00,100000000,305
11403770140000603,IRO1VLMT0001,ولملت,واسپاري ملت,120437,4219,4083,4095,224,2135932,8888790220,4094,4219,3981,285,3767898,2809,1,58,4219.00,3743.00,1500000000,300
11427939669935844,IRT3SATF0001,اطلس,صندوق س.توسعه اندوخته آينده-س,120448,273001,269987,267637,373,78140,21096765335,267501,273001,273634,186,1,4664,2,68,300997.00,246271.00,1000000000,305
11432067920374603,IRO1DSIN0001,دسينا,داروسازي‌ سينا,113856,23600,23900,23990,78,273394,6476588550,23300,24000,24070,3067,623182,2655,1,43,25270.00,22870.00,800000000,300
11622051128546106,IRO1PAKS0001,شپاكسا,پاكسان‌,120455,2095,2079,2050,508,10654360,22149308132,2050,2149,2129,29,7045561,3375,1,44,2256.00,2002.00,9221398000,300
11773403764702778,IRO1BIME0001,وبيمه,سرمايه‌ گذاري‌ صنعت‌ بيمه‌,120447,1550,1545,1544,224,2373781,3646495163,1510,1563,1548,182,9689922,2946,1,56,1640.00,1456.00,5000000000,300
11964419322927535,IRO1SROD0001,سرود,سيمان‌شاهرود,120033,22800,22970,22320,95,159643,3566687040,22120,22800,23180,3492,647110,2930,1,53,24570.00,21790.00,810000000,300
12277500298791438,IRT1FRDA0002,فردا2,صندوق س آواي فرداي زاگرس-ثابت,90953,1,1,1,14,14000000,14000000,1,1,13337,,1,327,1,68,1.00,1.00,4000000000,305
12303918642491681,IRO7ZNJP0001,زنجان,صنايع كشاورزي وكود زنجان,120501,3200,3279,3266,448,5640527,18498048451,3138,3329,3233,-21,3093103,3463,4,44,3329.00,3137.00,3500000000,309
12329519546621752,IRO1CHDN0001,چدن,توليدي چدن سازان,120445,2117,2096,2085,345,6535706,13713812002,2030,2133,2078,236,7218479,3498,1,28,2202.00,1954.00,8629813000,300
12387472624849835,IRO1DOSE0001,داسوه,داروسازي‌ اسوه‌,120259,36290,38210,37250,79,66107,2527298020,36290,39220,38200,3114,392670,2585,1,43,40110.00,36290.00,750000000,300
12390706505809150,IRTKKIAN0001,گوهر,صندوق سكه طلاي كيان,120442,78200,77774,77500,38,25749,2002594207,77500,78200,78361,,1,1429,7,68,86197.00,70525.00,200000000,380
12490072956930435,IRO3ISMZ0001,مديريت,س. و خدمات مديريت صند. ب كشوري,120452,7450,7310,7310,1746,9339851,68272153370,7200,7450,7430,2826,1,4216,2,56,7870.00,6990.00,1500000000,303
12638840758449459,IRO3PKSH0001,پخش,پخش البرز,120433,37100,37100,36500,391,1876122,69579372200,35350,37450,36750,3018,1,3103,2,43,38550.00,34950.00,1400000000,303
12746730665870442,IRO3BHPZ0001,بهپاك,صنعتي بهپاك,120457,6910,7140,7120,289,1791999,12796475900,6910,7290,7060,596,1,3309,2,42,7480.00,6640.00,3099000000,303
12752224677923341,IRO1RIIR0001,خريخت,صنايع‌ريخته‌گري‌ايران‌,120437,3130,3204,3192,834,14222178,45571719092,3120,3259,3104,319,4832474,3471,1,34,3259.00,2949.00,2187183447,300
12777578088653944,IRO7HSIP0001,وحكمت,بيمه حكمت صبا,120455,1372,1435,1443,218,7582433,10877646795,1372,1444,1402,71,7132668,2910,4,66,1444.00,1360.00,3113475000,309
12874072841236826,IRO1FSAZ0001,فسازان,غلتك سازان سپاهان,120432,4000,3926,3867,1506,18461657,72481598956,3850,4030,3983,331,3766006,4468,1,27,4182.00,3784.00,3000000000,300
12901875871456398,IRO7RAZP0001,ولراز,ليزينگ رازي,113651,22350,22650,22350,40,156534,3498534900,22350,22350,23000,-54,305000,2935,4,58,23650.00,22350.00,61000000,309
12913156843322499,IRTKNAHL0001,نهال,صندوق س. طلاي سرخ نوويرا,120213,21004,20999,21000,56,307353,6454067798,20980,21199,21177,,1,1173,7,68,23294.00,19060.00,99000000,380
12965822877128721,IRO7QAZP0001,ثقزوي,شركت عمران و سازندگي قزوين,113926,12160,12420,12160,25,234866,2855970560,12160,12160,12530,-177,798085,2565,4,70,12900.00,12160.00,200000000,309
13227300125161435,IRO1SSOF0001,سصوفي,سيمان‌ صوفيان‌,120449,21240,20910,20950,330,1333319,27878693350,20020,21240,20990,2546,714626,3509,1,53,22240.00,19740.00,1100000000,300
13235547361447092,IRO3PZGZ0001,زاگرس,پتروشيمي زاگرس,120503,131000,128800,127500,1661,529577,68205162050,124500,131800,130100,12671,1,5266,2,44,136600.00,123600.00,2400000000,303
13243992182070788,IRO3RAPZ0001,درهآور,دارويي ره آورد تامين,120442,29250,28400,28550,167,484641,13778473050,27550,29250,27900,4018,537828,3989,2,43,29550.00,26250.00,250000000,303
13281937213456378,IRO3RSKZ0001,حسير,ريل سير كوثر,120353,21000,20300,20150,502,1251742,25436187400,19700,21000,20100,504,1,3555,2,60,21300.00,18900.00,602947306,303
13611044044646901,IRO1BMEL0001,ملت,بيمه ملت,120453,1136,1163,1148,977,24951626,29029829662,1136,1180,1127,95,13309672,3254,1,66,1194.00,1060.00,30657213899,300
13666407494621646,IRT3FDKF0001,فراز,صندوق س.سهام فراز داريك-س,115533,15470,15466,15465,71,256848,3972355638,15465,15470,15464,,1,2055,2,68,17010.00,13918.00,100000000,305
13937270451301973,IRO1TSBE0001,وبشهر,توسعه‌ صنايع‌ بهشهر(هلدينگ,120421,7730,7790,7850,286,3328523,26115320680,7690,7990,7730,476,6000000,5174,1,42,8190.00,7270.00,15000000000,300
14073782708315535,IRO1NPRS0001,شنفت,نفت‌ پارس‌,120452,7460,7670,7630,189,788950,5980689450,7450,7650,7680,733,6676454,2902,1,23,8140.00,7220.00,16691134000,300
14079693677610396,IRO1ASTC0001,اسياتك,انتقال داده هاي آسياتك,120445,16600,16280,16240,5485,14295764,232735247610,16240,16940,17090,681,877706,7046,1,73,17940.00,16240.00,2000000000,300
